chromosomes,Bos_taurus_2,Capra_hircus_2,Ceratotherium_simum_9,Equus_caballus_18,Giraffa_tippelskirchi_3,Gorilla_gorilla_3,Mus_musculus_2,Panthera_tigris_C1,Sus_scrofa_15,Tursiops_truncatus_7
uce-124_p1,0,0,0,0,0,0,0,1,0,0
uce-1241_p1,1,1,1,1,1,1,1,1,1,1
uce-1242_p2,1,1,1,1,1,1,1,1,1,1
uce-1243_p1,0,0,0,0,0,0,0,0,0,0
uce-1245_p2,0,0,0,0,0,0,0,0,0,0
uce-1245_p3,0,0,0,0,0,0,0,0,0,0
uce-1246_p1,1,1,1,1,1,1,1,1,1,1
uce-125_p2,0,0,0,0,0,0,0,0,0,0
uce-1250_p1,0,0,0,0,0,0,0,0,0,0
uce-1250_p10,0,0,0,0,0,0,0,0,0,0
uce-1250_p11,0,0,0,0,0,0,0,0,0,0
uce-1250_p2,0,0,0,0,0,0,0,0,0,0
uce-1250_p3,0,0,0,0,0,0,0,0,0,0
uce-1250_p4,0,0,0,0,0,0,0,0,0,0
uce-1250_p5,0,0,0,0,0,0,0,0,0,0
uce-1250_p6,0,0,0,0,0,0,0,0,0,0
uce-1250_p7,0,0,0,0,0,0,0,0,0,0
uce-1250_p8,0,0,0,0,0,0,0,0,0,0
uce-1250_p9,0,0,0,0,0,0,0,0,0,0
uce-1251_p3,0,0,0,0,0,0,0,1,0,0
uce-1252_p2,0,0,0,0,0,0,0,0,0,0
uce-1253_p1,0,0,0,0,0,0,0,0,0,0
uce-1255_p2,0,0,0,0,0,0,0,0,0,0
uce-1256_p1,0,0,0,0,0,0,0,0,0,0
uce-1256_p2,0,0,0,0,0,0,0,0,0,0
uce-1257_p1,1,1,1,1,1,1,1,1,1,1
uce-1259_p1,0,0,0,0,0,0,0,0,0,0
uce-1260_p1,0,0,0,0,0,0,0,0,0,0
uce-1263_p4,0,0,0,0,0,0,0,0,0,0
uce-1264_p1,0,0,0,0,0,0,0,0,0,0
uce-1265_p2,0,0,0,0,0,0,0,0,0,0
uce-1267_p4,0,0,0,0,0,0,0,0,0,0
uce-1268_p2,0,0,0,0,0,0,0,0,0,0
uce-127_p1,0,0,0,0,0,0,0,0,0,0
uce-1270_p3,0,0,0,0,0,0,0,1,0,0
uce-1271_p2,0,0,0,0,0,0,0,0,0,0
uce-1272_p1,0,0,0,0,0,0,0,0,0,0
uce-1276_p4,0,0,0,0,0,0,0,0,0,0
uce-1277_p1,0,0,0,0,0,0,0,0,0,0
uce-1278_p1,0,0,0,0,0,0,0,0,0,0
uce-1278_p2,0,0,0,0,0,0,0,0,0,0
uce-1278_p3,0,0,0,0,0,0,0,0,0,0
uce-1278_p4,0,0,0,0,0,0,0,0,0,0
uce-128_p1,0,0,0,0,0,0,0,0,0,0
uce-1281_p1,0,0,0,0,0,0,0,0,0,0
uce-1285_p1,0,0,0,0,0,0,0,1,0,0
uce-1285_p2,0,0,0,0,0,0,0,1,0,0
uce-1286_p1,0,0,0,0,0,0,1,0,0,0
uce-1286_p2,0,0,0,0,0,0,0,0,0,0
uce-1288_p7,0,0,0,0,0,0,0,0,0,0
uce-129_p1,0,0,0,0,0,0,0,0,0,0
uce-129_p2,0,0,0,0,0,0,0,0,0,0
uce-129_p3,0,0,0,0,0,0,0,0,0,0
uce-1290_p2,1,1,1,1,1,1,1,1,1,1
uce-1291_p1,1,1,1,1,1,1,1,1,1,1
uce-1295_p1,1,1,1,1,1,1,1,1,1,1
uce-1297_p5,0,0,0,0,0,0,0,0,0,0
uce-1298_p1,0,0,0,0,0,0,0,0,0,0
uce-1298_p2,0,0,0,0,0,0,0,0,0,0
uce-1298_p3,0,0,0,0,0,0,0,0,0,0
uce-1298_p4,0,0,0,0,0,0,0,0,0,0
uce-1299_p1,0,0,0,0,0,0,0,0,0,0
uce-1299_p2,0,0,0,0,0,0,0,0,0,0
uce-1300_p1,0,0,0,0,0,0,0,0,0,0
uce-1301_p1,0,0,0,0,0,0,0,0,0,0
uce-1304_p1,0,0,0,0,0,0,1,0,0,0
uce-1305_p2,0,0,0,0,0,0,0,0,0,0
uce-1306_p1,0,0,0,0,0,0,0,0,0,0
uce-1306_p2,0,0,0,0,0,0,0,0,0,0
uce-1307_p3,0,0,0,0,0,0,0,0,0,0
uce-1309_p3,0,0,0,0,0,0,0,0,0,0
uce-131_p1,0,0,0,0,0,0,0,0,0,0
uce-1311_p1,0,0,0,0,0,0,0,0,0,0
uce-1311_p2,0,0,0,0,0,0,0,0,0,0
uce-1313_p1,0,0,0,0,0,0,0,0,0,0
uce-1313_p2,0,0,0,0,0,0,0,0,0,0
uce-1314_p1,0,0,0,0,0,0,1,0,0,0
uce-1318_p3,1,1,1,1,1,1,1,1,1,1
uce-1319_p2,0,0,0,0,0,0,0,0,0,0
uce-132_p3,0,0,0,0,0,0,0,0,0,0
uce-1322_p4,0,0,0,0,0,0,0,0,0,0
uce-1322_p5,0,0,0,0,0,0,0,0,0,0
uce-1322_p6,0,0,0,0,0,0,0,0,0,0
uce-1323_p1,0,0,0,0,0,0,0,0,0,0
uce-1324_p4,0,0,0,0,0,0,0,0,0,0
uce-1326_p1,0,0,0,0,0,0,0,0,0,0
uce-1329_p3,0,0,0,0,0,0,0,0,0,0
uce-1333_p6,0,0,0,0,0,0,0,0,0,0
uce-1334_p1,0,0,0,0,0,0,0,0,0,0
uce-1335_p3,1,1,1,1,1,1,1,1,1,1
uce-1336_p1,1,1,1,1,1,1,1,1,1,1
uce-1336_p2,1,1,1,1,1,1,1,1,1,1
uce-1339_p6,0,0,0,0,0,0,0,0,0,0
uce-134_p1,0,0,0,0,0,0,0,0,0,0
uce-134_p2,0,0,0,0,0,0,0,0,0,0
uce-1342_p1,0,0,0,0,0,0,0,0,0,0
uce-1342_p2,0,0,0,0,0,0,0,0,0,0
uce-1344_p1,0,0,0,0,0,0,1,0,0,0
uce-1344_p2,0,0,0,0,0,0,1,0,0,0
uce-1345_p1,0,0,0,0,0,0,0,0,0,0
uce-1346_p3,0,0,0,0,0,0,0,0,0,0
uce-1348_p1,0,0,0,0,0,0,0,0,0,0
uce-1348_p2,0,0,0,0,0,0,0,0,0,0
uce-1348_p3,0,0,0,0,0,0,0,0,0,0
uce-1348_p4,0,0,0,0,0,0,0,0,0,0
uce-1348_p5,0,0,0,0,0,0,0,0,0,0
uce-1349_p4,0,0,0,0,0,0,0,0,0,0
uce-1350_p1,0,0,0,0,0,0,0,0,0,0
uce-1350_p2,0,0,0,0,0,0,0,0,0,0
uce-1350_p3,0,0,0,0,0,0,0,0,0,0
uce-1351_p1,0,0,0,0,0,0,0,0,0,0
uce-1354_p1,0,0,0,0,0,0,0,0,0,0
uce-1357_p1,0,0,0,0,0,0,1,0,0,0
uce-1357_p2,0,0,0,0,0,0,1,0,0,0
uce-1357_p3,0,0,0,0,0,0,1,0,0,0
uce-1357_p4,0,0,0,0,0,0,1,0,0,0
uce-1358_p6,0,0,0,0,0,0,0,0,0,0
uce-1358_p7,0,0,0,0,0,0,0,0,0,0
uce-1358_p8,0,0,0,0,0,0,0,0,0,0
uce-1359_p1,0,0,0,0,0,0,0,0,0,0
uce-136_p1,0,0,0,0,0,0,0,0,0,0
uce-136_p2,0,0,0,0,0,0,0,0,0,0
uce-136_p3,0,0,0,0,0,0,0,0,0,0
uce-1360_p1,0,0,0,0,0,0,0,0,0,0
uce-1361_p2,0,0,0,0,0,0,0,0,0,0
uce-1362_p1,0,0,0,0,0,0,0,0,0,0
uce-1363_p1,0,0,0,0,0,0,0,0,0,0
uce-1363_p2,0,0,0,0,0,0,0,0,0,0
uce-1363_p3,0,0,0,0,0,0,0,0,0,0
uce-1366_p1,0,0,0,0,0,0,0,1,0,0
uce-1367_p1,0,0,0,0,0,0,0,0,0,0
uce-1368_p2,0,0,0,0,0,0,1,0,0,0
uce-1371_p2,0,0,0,0,0,0,0,0,0,0
uce-1374_p2,0,0,0,0,0,0,0,0,0,0
uce-1375_p1,0,0,0,0,0,0,0,0,0,0
uce-1376_p1,0,0,0,0,0,0,0,1,0,0
uce-1376_p2,0,0,0,0,0,0,0,1,0,0
uce-1376_p3,0,0,0,0,0,0,0,1,0,0
uce-1376_p4,0,0,0,0,0,0,0,1,0,0
uce-1376_p5,0,0,0,0,0,0,0,1,0,0
uce-1378_p1,0,0,0,0,0,0,0,0,0,0
uce-1381_p2,0,0,0,0,0,0,0,0,0,0
uce-1383_p2,0,0,0,0,0,0,0,0,0,0
uce-1384_p2,0,0,0,0,0,0,0,0,0,0
uce-1385_p1,0,0,0,0,0,0,0,0,0,0
uce-1385_p2,0,0,0,0,0,0,0,0,0,0
uce-1389_p2,0,0,0,0,0,0,0,0,0,0
uce-139_p1,0,0,0,0,0,0,0,0,0,0
uce-1390_p1,0,0,0,0,0,0,0,0,0,0
uce-1390_p2,0,0,0,0,0,0,0,0,0,0
uce-1392_p4,0,0,0,0,0,0,1,0,0,0
uce-1393_p1,0,0,0,0,0,0,0,0,0,0
uce-1394_p3,0,0,0,0,0,0,0,0,0,0
uce-1395_p1,0,0,0,0,0,0,1,0,0,0
